Year,Grade,Term 1,Term 2,cumulative gpa
2019,6,1.857,1.857,1.857
2019,7,2.571,2.286,2.4285
2019,6,4,3.429,3.7145
2019,8,,,#DIV/0!
2019,6,2.714,2.857,2.7855
2019,7,2.429,2.571,2.5
2019,7,,,#DIV/0!
2019,8,3.857,3.571,3.714
2019,6,3.286,3.143,3.2145
2019,8,3,3.143,3.0715
2019,6,2.571,2.571,2.571
2019,7,1.571,2,1.7855
2019,6,2.286,2,2.143
2019,7,3.286,3.429,3.3575
2019,8,0.714,1,0.857
2019,8,1.429,1.429,1.429
2019,8,2,2.286,2.143
2019,8,3.143,2.857,3
2019,7,4,4,4
2019,7,2.143,2.286,2.2145
2019,8,3.429,2.714,3.0715
2019,6,3,3,3
2019,8,2.429,,2.429
2019,7,3.571,3.714,3.6425
2019,6,3.857,3.857,3.857
2019,7,2.429,1.571,2
2019,8,4,4,4
2019,7,2.571,3.286,2.9285
2019,8,1.714,1.429,1.5715
2019,7,2.286,1.429,1.8575
2019,8,1.857,1.714,1.7855
2019,6,2.857,2.143,2.5
2019,7,3.571,3.571,3.571
2019,6,2.714,2.714,2.714
2019,8,2.714,2.429,2.5715
2019,6,3.429,3.143,3.286
2019,8,1.286,1.571,1.4285
2019,8,3.429,3.714,3.5715
2019,8,2.571,2.857,2.714
2019,7,3.143,3.286,3.2145
2019,7,3.143,3.143,3.143
2019,7,3.286,3.143,3.2145
2019,7,3.857,3.571,3.714
2019,7,3,2.571,2.7855
2019,7,2.714,2.714,2.714
2019,6,2,1.429,1.7145
2019,6,3.429,3.286,3.3575
2019,8,3.571,3.143,3.357
2019,6,3.714,3.857,3.7855
2019,7,2.714,2.429,2.5715
2019,6,4,3.857,3.9285
2019,7,2,2.286,2.143
2019,6,2.714,1.857,2.2855
2019,6,3,3.143,3.0715
2019,8,1.429,0.571,1
2019,7,3.857,4,3.9285
2019,6,3.429,3.143,3.286
2019,6,3.714,3.143,3.4285
2019,7,3.714,3.571,3.6425
2019,7,2.571,2.571,2.571
2019,7,3.571,3.857,3.714
2019,8,3,3.571,3.2855
2019,7,3.429,3.143,3.286
2019,8,,,#DIV/0!
2019,6,3.143,2.571,2.857
2019,7,3.286,3.429,3.3575
2019,6,3.143,3.286,3.2145
2019,6,2,1.857,1.9285
2019,8,2.571,,2.571
2019,6,3.143,3,3.0715
2019,7,3.143,3,3.0715
2019,8,3.571,3.571,3.571
2019,8,3.571,3,3.2855
2019,8,2.714,3,2.857
2019,6,2.857,3,2.9285
2019,8,3.857,4,3.9285
2019,8,2.571,2.571,2.571
2019,8,2.857,2.714,2.7855
2019,7,1.571,1.143,1.357
2019,8,2.714,2.857,2.7855
2019,8,3.429,3.286,3.3575
2019,8,3.571,3.571,3.571
2019,6,3.571,3.857,3.714
2019,7,2.857,2.714,2.7855
2019,6,3.857,3.714,3.7855
2019,8,3.714,3.857,3.7855
2019,6,3.143,2.571,2.857
2019,7,2.857,2.857,2.857
2019,7,2.714,2.286,2.5
2019,6,2.857,2.429,2.643
2019,6,3.286,3.286,3.286
2019,7,3.143,2.714,2.9285
2019,7,2.571,3.143,2.857
2019,7,2.429,1.857,2.143
2019,8,2.571,2.286,2.4285
2019,6,3,2.429,2.7145
2019,6,2.857,2.429,2.643
2019,8,3.429,3.571,3.5
2019,7,3.571,3.571,3.571
2019,6,3.571,3.714,3.6425
2019,7,2.857,2.714,2.7855
2019,8,2,2.143,2.0715
2019,7,2.857,2.714,2.7855
2019,8,3.857,3.857,3.857
2019,8,3.571,3.143,3.357
2019,8,3,3.143,3.0715
2019,7,3.571,3.857,3.714
2019,8,3.714,4,3.857
2019,6,3.571,2.857,3.214
2019,7,2.286,2.571,2.4285
2019,6,2.571,2,2.2855
2019,6,3.714,3.857,3.7855
2019,8,2.429,2.714,2.5715
2019,7,3.143,3,3.0715
2019,7,2,2.571,2.2855
2019,8,3.429,3,3.2145
2019,6,3.714,3.571,3.6425
2019,6,2.857,2.857,2.857
2019,7,3.429,2.714,3.0715
2019,7,3,,3
2019,7,1.143,0.857,1
2019,7,3.714,4,3.857
2019,7,3.286,3.429,3.3575
2019,6,3,2.143,2.5715
2019,8,2.857,2.857,2.857
2019,8,3.143,3.429,3.286
2019,6,2.857,2.143,2.5
2019,6,3.286,2.429,2.8575
2019,7,2.143,1.571,1.857
2019,6,2,1.571,1.7855
2019,7,3.714,3.571,3.6425
2019,6,3,2.714,2.857
2019,8,,,#DIV/0!
2019,6,,,#DIV/0!
2019,6,2.143,1.714,1.9285
2019,8,3.857,4,3.9285
2019,6,3,2.857,2.9285
2019,6,3.571,3.571,3.571
2019,8,2.143,2.714,2.4285
2019,7,3.429,3.143,3.286
2019,7,3.143,3,3.0715
2019,7,2,,2
2019,7,3.875,3.857,3.866
2019,6,3.857,4,3.9285
2019,6,2.429,2.571,2.5
2019,8,1.857,1.429,1.643
2019,7,3.286,3.429,3.3575
2019,6,3.286,2.857,3.0715
2019,6,3.857,3.857,3.857
2019,6,3,2.857,2.9285
2019,6,2,2,2
2019,7,3.714,3.429,3.5715
2019,7,3,3.286,3.143
2019,6,2.286,2.143,2.2145
2019,7,2.714,2.857,2.7855
2019,7,2.714,1.857,2.2855
2019,8,3.571,3.143,3.357
2019,7,2.143,1.714,1.9285
2019,7,4,4,4
2019,6,3.857,3.857,3.857
2019,7,3.143,3,3.0715
2019,6,2.857,3,2.9285
2019,7,3,2.857,2.9285
2019,8,3.429,3.286,3.3575
2019,7,4,3.857,3.9285
2019,6,3.714,3.857,3.7855
2019,8,2.714,2,2.357
2019,8,2.714,2.714,2.714
2019,7,2.286,2.714,2.5
2019,6,2.714,2.571,2.6425
2019,8,2.857,2.714,2.7855
2019,8,2.857,2.286,2.5715
2019,8,3,3,3
2019,6,3.143,3,3.0715
2019,6,3.571,3.286,3.4285
2019,7,4,4,4
2019,6,3.857,3.714,3.7855
2019,8,3.143,3,3.0715
2019,6,3.429,3.286,3.3575
2019,6,3.429,3.571,3.5
2019,7,2.714,2.571,2.6425
2019,7,3.857,3.857,3.857
2019,7,3.429,3.143,3.286
2019,8,1.571,2.143,1.857
2019,6,3.429,3,3.2145
2019,6,3.714,2.714,3.214
2019,8,3.429,3.571,3.5
2019,8,2.857,2.429,2.643
2019,6,3.571,3.429,3.5
2019,7,3,3.286,3.143
2019,8,1.571,1.571,1.571
2019,8,3.286,2.857,3.0715
2019,8,2.571,2.143,2.357
2019,8,2.714,2.286,2.5
2019,6,2.429,2,2.2145
2019,6,2.714,2.714,2.714
2019,8,2.286,1.714,2
2019,6,3.571,3.286,3.4285
2019,8,3.857,3.714,3.7855
2019,7,2.571,2.429,2.5
2019,7,2.286,,2.286
2019,8,2.286,2.143,2.2145
2019,7,3.714,3.714,3.714
2019,8,3.571,3.286,3.4285
2019,8,3.143,2.857,3
2019,8,3.857,3.714,3.7855
2019,8,3.143,2.857,3
2019,6,3.571,3.571,3.571
2019,6,3,3,3
2019,7,3,3.286,3.143
2019,6,3.286,3,3.143
2019,8,3.571,3.429,3.5
2019,8,3.143,3.429,3.286
2019,7,3.857,3.571,3.714
2019,8,2,,2
2019,6,4,4,4
2019,8,1.857,1.286,1.5715
2019,7,1.429,1.571,1.5
2019,7,2.143,0.857,1.5
2019,8,,,#DIV/0!
2019,7,2.429,2.286,2.3575
2019,8,3,3.143,3.0715
2019,8,3.143,3.143,3.143
2019,8,3.143,2.857,3
2019,8,2.429,2.714,2.5715
2019,7,3.429,3.571,3.5
2019,8,2.143,1.857,2
2019,8,2.857,3,2.9285
2019,7,3.571,3,3.2855
2019,6,3.143,3.429,3.286
2019,8,3.571,3.286,3.4285
2019,6,3.857,3.429,3.643
2019,6,1.857,1.571,1.714
2019,8,3,,3
2019,6,4,4,4
2019,7,2.714,2.286,2.5
2019,7,,,#DIV/0!
2019,6,,,#DIV/0!
2019,6,3.571,3.143,3.357
2019,6,2.857,,2.857
2019,6,3.143,2.429,2.786
2019,8,2.571,1.857,2.214
2019,6,2,1.857,1.9285
2019,8,2.429,,2.429
2019,7,3.286,2.857,3.0715
2019,6,3.429,3.143,3.286
2019,8,2.286,2.143,2.2145
2019,7,2.714,1.714,2.214
2019,7,2.429,1.714,2.0715
2019,7,2.714,2,2.357
2019,8,3.571,3.429,3.5
2019,6,2.857,2.571,2.714
2019,7,2.571,2.857,2.714
2019,8,2.714,2.571,2.6425
2019,8,2.714,2.857,2.7855
2019,8,4,4,4
2019,7,3.857,3.429,3.643
2019,7,,,#DIV/0!
2019,8,,,#DIV/0!
2019,6,3.429,3.286,3.3575
2019,8,3,3,3
2019,8,3.857,3.429,3.643
2019,8,2.429,1.714,2.0715
2019,6,3,3,3
2019,8,3.857,3.714,3.7855
2019,8,3.429,3.286,3.3575
2019,7,,,#DIV/0!
2019,6,3.714,3.429,3.5715
2019,6,3,2.571,2.7855
2019,6,3.857,3.857,3.857
2019,6,3,2.143,2.5715
2019,7,3.714,3.857,3.7855
2019,7,2.857,2.429,2.643
2019,6,2.429,1.571,2
2019,8,1.571,1.429,1.5
2019,8,3.571,3.714,3.6425
2019,6,2.857,,2.857
2019,8,3.286,2.571,2.9285
2019,8,3.286,3.286,3.286
2019,8,3.143,2.429,2.786
2019,6,3.143,2.857,3
2019,8,1.857,1.429,1.643
2019,8,2.143,2.429,2.286
2019,6,3.286,3.571,3.4285
2019,6,3.286,3,3.143
2019,8,2,1.143,1.5715
2019,7,3,2.857,2.9285
2019,7,3.286,3.286,3.286
2019,6,2.143,2.143,2.143
2019,8,3,3.286,3.143
2019,8,2.714,3.286,3
2019,6,3.714,3.429,3.5715
2019,6,3.714,3.571,3.6425
2019,8,3.143,3.286,3.2145
2019,8,1.714,1.429,1.5715
2019,7,2.714,2.857,2.7855
2019,7,2.143,2.143,2.143
2019,6,3.714,2.714,3.214
2019,7,2.714,2.286,2.5
2019,7,2.571,2.571,2.571
2019,8,2,1,1.5
2019,8,3.571,3.286,3.4285
2019,6,3.857,3.857,3.857
2019,7,3.286,3.286,3.286
2019,6,3.714,3.857,3.7855
2019,7,2,1.429,1.7145
2019,7,3.143,2.857,3
2019,7,3,3.429,3.2145
2019,8,3.714,3.714,3.714
2019,6,3.714,3.714,3.714
2019,7,3,3,3
2019,6,2.286,2.286,2.286
2019,8,3.571,3.143,3.357
2019,6,3.714,3.429,3.5715
2019,8,3.286,3,3.143
2019,6,3,3,3
2019,8,3.857,3.429,3.643
2019,8,2.714,2.571,2.6425
2019,6,2.286,2.286,2.286
2019,8,2.571,2.429,2.5
2019,6,3.714,2.571,3.1425
2019,7,2,1.714,1.857
2019,8,2.714,2.714,2.714
2019,6,,,#DIV/0!
2019,7,3.143,2.857,3
2019,6,1.857,1.714,1.7855
2019,8,2.143,2,2.0715
2019,8,3,2.714,2.857
2019,6,3.429,3.429,3.429
2019,7,2.857,2.143,2.5
2019,7,2.571,2.571,2.571
2019,8,0.714,0.429,0.5715
2019,6,2.143,1.857,2
2019,7,2.714,2.429,2.5715
2019,8,2.429,2.429,2.429
2019,7,1.571,,1.571
2019,8,3,2.714,2.857
2019,8,2.286,2.143,2.2145
2019,8,1.857,1.714,1.7855
2019,6,3,2.857,2.9285
2019,8,2.571,1.857,2.214
2019,6,3.429,3.571,3.5
2019,6,2,1.571,1.7855
2019,8,2.143,1.714,1.9285
2019,7,2.429,,2.429
2019,7,2.571,2.714,2.6425
2019,8,3,2.571,2.7855
2019,7,1.429,1.857,1.643
2019,6,2.857,2.857,2.857
2019,8,3.143,3,3.0715
2019,8,2.286,2.429,2.3575
2019,6,3.857,3.429,3.643
2019,8,0.714,0.714,0.714
2019,6,3.143,2.857,3
2019,6,2.714,2.429,2.5715
2019,6,3.429,3.429,3.429
2019,8,3.714,3.571,3.6425
2019,6,2.857,2,2.4285
2019,8,3.143,2.714,2.9285
2019,8,1,,1
2019,6,3.429,3.429,3.429
2019,7,2.857,2.857,2.857
2019,6,3.286,3.429,3.3575
2019,7,2.571,2.429,2.5
2019,8,2.857,2.714,2.7855
2019,8,3,2.429,2.7145
2019,6,3.143,2.714,2.9285
2019,7,2.571,2.571,2.571
2019,6,2.143,1.857,2
2019,8,3.286,3.143,3.2145
2019,6,3.143,2.857,3
2019,8,1.286,2.143,1.7145
2019,7,3.286,3.286,3.286
2019,6,3.286,2.714,3
2019,6,2.857,1.857,2.357
2019,8,3,2.857,2.9285
2019,8,2.714,2.571,2.6425
2019,6,4,3.571,3.7855
2019,6,1.714,1,1.357
2019,6,2.286,2.286,2.286
2019,7,3.429,3.143,3.286
2019,6,3.429,2.714,3.0715
2019,8,2.714,2.714,2.714
2019,6,2.143,1.571,1.857
2019,6,2.143,1.857,2
2019,8,1.571,1.571,1.571
2019,7,2.571,2.143,2.357
2019,7,1.857,1.286,1.5715
2019,7,2.429,1.857,2.143
2019,6,1.714,2.429,2.0715
2019,6,2.857,2.714,2.7855
2019,6,2.714,2,2.357
2019,6,3.429,3.143,3.286
2019,7,2.571,2.429,2.5
2019,6,2,1.571,1.7855
2019,8,3.286,3.143,3.2145
2019,8,3,2.286,2.643
2019,8,3.857,3,3.4285
2019,7,2,1.571,1.7855
2019,7,3.857,3.857,3.857
2019,8,2.571,2,2.2855
2019,8,3.286,3,3.143
2019,8,2.571,2.143,2.357
2019,8,4,3.857,3.9285
2019,6,3.571,3.429,3.5
2019,6,,,#DIV/0!
2019,8,0.714,1.714,1.214
2019,7,2.714,2.571,2.6425
2019,8,3.429,2.857,3.143
2019,7,2.714,2.714,2.714
2019,7,1.571,1.286,1.4285
2019,8,3.714,3.286,3.5
2019,6,3.143,2.286,2.7145
2019,6,3.571,3,3.2855
2019,8,2.143,,2.143
2019,6,1,,1
2019,6,2.429,2,2.2145
2019,6,3.286,3,3.143
2019,6,3.714,3.857,3.7855
2019,7,2,1.857,1.9285
2019,7,2.429,,2.429
2019,6,2.571,,2.571
2019,8,2.571,2.286,2.4285
2019,6,3.571,3.571,3.571
2019,7,1.857,1.571,1.714
2019,7,3.571,2.857,3.214
2019,8,3.286,3.286,3.286
2019,7,3.714,3.714,3.714
2019,8,1.714,1.571,1.6425
2019,8,3.286,3.143,3.2145
2019,8,2.857,2.143,2.5
2019,6,2.714,2.286,2.5
2019,8,2.857,3,2.9285
2019,8,2.714,3.143,2.9285
2019,8,3.143,3.286,3.2145
2019,6,4,3.857,3.9285
2019,8,2.857,2.429,2.643
2019,6,3,2.714,2.857
2019,6,1,0.857,0.9285
2019,7,3.571,3.143,3.357
2019,7,3.857,3.429,3.643
2019,8,3,2.857,2.9285
2019,6,3.571,3.429,3.5
2019,7,3.429,2.714,3.0715
2019,7,2.857,2.571,2.714
2019,8,3,2.857,2.9285
2019,7,3.143,3.143,3.143
2019,8,2.571,2.571,2.571
2019,8,2.857,2.429,2.643
2019,6,1.857,1.714,1.7855
2019,8,3.143,3.571,3.357
2019,6,3.857,3.714,3.7855
2019,8,3.857,3.857,3.857
2019,8,4,4,4
2019,8,1.571,1.429,1.5
2019,7,3.429,3.429,3.429
2019,6,2.714,2.143,2.4285
2019,8,1.714,1.857,1.7855
2019,6,3.143,1.857,2.5
2019,6,3.714,3.857,3.7855
2019,6,3.571,3.571,3.571
2019,7,3.714,3.714,3.714
2019,7,3.571,3,3.2855
2019,8,2.857,2.571,2.714
2019,7,2.714,2.429,2.5715
2019,6,2,2,2
2019,8,2.143,1.571,1.857
2019,8,2.714,3,2.857
2019,6,3.714,3.429,3.5715
2019,7,3,2.714,2.857
2019,6,3.714,3.857,3.7855
2019,8,3.571,3,3.2855
2019,8,3.714,4,3.857
2019,6,2.286,2,2.143
2019,7,2.143,1.857,2
2019,8,4,4,4
2019,6,4,2.571,3.2855
2019,7,2.667,2.286,2.4765
2019,6,3,2.857,2.9285
2019,6,2.286,1.571,1.9285
2019,8,1.857,1.571,1.714
2019,7,2.429,2.143,2.286
2019,8,3.286,2.857,3.0715
2019,6,2.571,2.571,2.571
2019,7,3.714,3.714,3.714
2019,8,2.429,2.714,2.5715
2019,6,3.857,3.714,3.7855
2019,8,3.429,3.857,3.643
2019,7,3.714,3.857,3.7855
2019,7,2.286,2.143,2.2145
2019,7,2.286,2.429,2.3575
2019,7,3,,3
2019,6,3.571,2.714,3.1425
2019,7,3.143,2.857,3
2019,6,3.714,3.857,3.7855
2019,7,2.857,2.857,2.857
2019,6,3,2.714,2.857
2019,7,2.857,2.571,2.714
2019,7,2.286,2.714,2.5
2019,6,3.429,2.857,3.143
2019,7,3.143,2.857,3
2019,8,3.714,3.143,3.4285
2019,8,3.571,4,3.7855
2019,6,3.571,3.857,3.714
2019,8,3.571,3.571,3.571
2019,7,4,4,4
2019,6,3,3,3
2019,6,3.714,3.571,3.6425
2019,6,3.429,2.857,3.143
2019,8,1.143,0.571,0.857
2019,7,3,2.143,2.5715
2019,6,3.857,3.857,3.857
2019,8,2.571,2.143,2.357
2019,6,3.429,2.714,3.0715
2019,6,,,#DIV/0!
2019,6,3.143,3.429,3.286
2019,7,3.143,3,3.0715
2019,7,3,2.857,2.9285
2019,6,3.714,3.286,3.5
2019,8,3.143,3.143,3.143
2019,8,2.286,2,2.143
2019,6,3,3,3
2019,6,4,4,4
2019,7,2.857,2.857,2.857
2019,8,3.286,3.143,3.2145
2019,7,2.571,2.571,2.571
2019,8,2.714,3,2.857
2019,8,2.571,2.571,2.571
2019,6,2.857,3.143,3
2019,8,3,2.714,2.857
2019,6,,0.571,0.571
2019,7,2.857,2.857,2.857
2019,6,3.571,3.286,3.4285
2019,6,3.714,3.714,3.714
2019,6,3.286,3,3.143
2019,7,2.571,1.714,2.1425
2019,8,1,1.286,1.143
2019,6,3.429,3.286,3.3575
2019,6,2.714,2,2.357
2019,7,2.286,2.143,2.2145
2019,8,2.857,2.571,2.714
2019,7,2.143,2.286,2.2145
2019,6,3.714,3.571,3.6425
2019,8,2.143,1.857,2
2019,8,3.286,2.857,3.0715
2019,8,3.571,3.429,3.5
2019,6,3.714,3.286,3.5
2019,6,3.429,3.286,3.3575
2019,8,2.571,2.571,2.571
2019,6,3.571,3.429,3.5
2019,8,3.286,2.857,3.0715
2019,7,3.143,,3.143
2019,7,3,3,3
2019,8,2.714,3.143,2.9285
2019,8,2.429,2.571,2.5
2019,6,1.286,1,1.143
2019,7,2.429,2.143,2.286
2019,7,3.714,3.857,3.7855
2019,6,3,2.429,2.7145
2019,6,2.571,2.286,2.4285
2019,7,3.857,3.857,3.857
2019,6,2.429,2.571,2.5
2019,8,1.571,1.429,1.5
2019,6,2.857,2.143,2.5
2019,8,2.857,2.714,2.7855
2019,6,3.571,3.571,3.571
2019,6,3.857,3.429,3.643
2019,8,3.857,4,3.9285
2019,7,3.286,3.429,3.3575
2019,6,3.571,2.857,3.214
2019,7,3.143,3,3.0715
2019,7,2.857,2,2.4285
2019,8,3.286,3.571,3.4285
2019,7,3.143,3.571,3.357
2019,8,3,2.714,2.857
2019,8,4,4,4
2019,7,2.571,1.714,2.1425
2019,7,1.143,,1.143
2019,6,4,3.857,3.9285
2019,6,1.429,,1.429
2019,7,3.125,3,3.0625
2019,7,1,0.714,0.857
2019,7,3.286,3.143,3.2145
2019,8,3,3,3
2019,6,3.857,3.286,3.5715
2019,6,3,2.714,2.857
2019,6,3.429,3.143,3.286
2019,7,3.143,3.143,3.143
2019,8,4,4,4
2019,7,,,#DIV/0!
2019,6,2.571,2.286,2.4285
2019,7,1.857,1.714,1.7855
2019,6,2.143,2.286,2.2145
2019,6,2.429,2.143,2.286
2019,6,3.571,3.571,3.571
2019,8,3.429,2,2.7145
2019,7,3.429,2.714,3.0715
2019,8,1.571,1.571,1.571
2019,7,3.143,3,3.0715
2019,8,2.857,3,2.9285
2019,6,3,2.429,2.7145
2019,6,3.571,3,3.2855
2019,7,2.571,2.143,2.357
2019,6,3.857,4,3.9285
2019,6,2.429,2.286,2.3575
2019,7,1,0.857,0.9285
2019,8,3.571,3,3.2855
2019,8,1.143,1,1.0715
2019,7,3.286,3.571,3.4285
2019,6,2.571,2.143,2.357
2019,6,4,4,4
2019,8,4,4,4
2019,8,3.143,3.143,3.143
2019,8,3.286,3.429,3.3575
2019,7,2.857,2.857,2.857
2019,6,3.857,3.714,3.7855
2019,8,3.857,3.857,3.857
2019,6,3.857,3.714,3.7855
2019,8,1.714,1.571,1.6425
2019,6,2.571,2.286,2.4285
2019,7,2.571,2.143,2.357
2019,6,2.857,3,2.9285
2019,8,2,1.571,1.7855
2019,8,,,#DIV/0!
2019,8,2.714,2,2.357
2019,7,2.125,2.429,2.277
2019,8,3.571,3.429,3.5
2019,6,1.429,1,1.2145
2019,6,3.429,2.857,3.143
2019,7,3.571,3.571,3.571
2019,6,2.429,2,2.2145
2019,7,2.429,2.857,2.643
2019,6,2.143,2.714,2.4285
2019,6,3.429,3.571,3.5
2019,8,3.143,2,2.5715
2019,8,3.143,3.286,3.2145
2019,6,2.143,1.857,2
2019,6,2.286,2.429,2.3575
2019,8,2.286,2,2.143
2019,6,2.286,2,2.143
2019,7,3.286,2.571,2.9285
2019,7,4,4,4
2019,7,2.571,2.714,2.6425
2019,8,3,3,3
2019,8,2.714,2.714,2.714
2019,6,2.714,2,2.357
2019,8,2.857,3,2.9285
2019,8,1.143,1,1.0715
2019,7,3.857,4,3.9285
2019,8,2.857,2.429,2.643
2019,7,3.857,3.857,3.857
2019,6,2.429,2.714,2.5715
2019,6,2.429,,2.429
2019,6,2.857,,2.857
2019,8,3.857,3.429,3.643
2019,6,1.857,1.714,1.7855
