Grade,Term 1,Term 2,
8,2.571,1.857,2.214
6,3.429,3.571,3.5
6,2,1.571,1.7855
8,2.143,1.714,1.9285
7,2.429,,2.429
7,2.571,2.714,2.6425
8,3,2.571,2.7855
7,1.429,1.857,1.643
6,2.857,2.857,2.857
8,3.143,3,3.0715
8,2.286,2.429,2.3575
6,3.857,3.429,3.643
8,0.714,0.714,0.714
6,3.143,2.857,3
6,2.714,2.429,2.5715
6,3.429,3.429,3.429
8,3.714,3.571,3.6425
6,2.857,2,2.4285
8,3.143,2.714,2.9285
8,1,,1
6,3.429,3.429,3.429
7,2.857,2.857,2.857
6,3.286,3.429,3.3575
7,2.571,2.429,2.5
8,2.857,2.714,2.7855
8,3,2.429,2.7145
6,3.143,2.714,2.9285
7,2.571,2.571,2.571
6,2.143,1.857,2
8,3.286,3.143,3.2145
6,3.143,2.857,3
8,1.286,2.143,1.7145
7,3.286,3.286,3.286
6,3.286,2.714,3
6,2.857,1.857,2.357
8,3,2.857,2.9285
8,2.714,2.571,2.6425
6,4,3.571,3.7855
6,1.714,1,1.357
6,2.286,2.286,2.286
7,3.429,3.143,3.286
6,3.429,2.714,3.0715
8,2.714,2.714,2.714
6,2.143,1.571,1.857
6,2.143,1.857,2
8,1.571,1.571,1.571
7,2.571,2.143,2.357
7,1.857,1.286,1.5715
7,2.429,1.857,2.143
6,1.714,2.429,2.0715
6,2.857,2.714,2.7855
6,2.714,2,2.357
6,3.429,3.143,3.286
7,2.571,2.429,2.5
6,2,1.571,1.7855
8,3.286,3.143,3.2145
8,3,2.286,2.643
8,3.857,3,3.4285
7,2,1.571,1.7855
7,3.857,3.857,3.857
8,2.571,2,2.2855
8,3.286,3,3.143
8,2.571,2.143,2.357
8,4,3.857,3.9285
6,3.571,3.429,3.5
6,,,#DIV/0!
8,0.714,1.714,1.214
7,2.714,2.571,2.6425
8,3.429,2.857,3.143
7,2.714,2.714,2.714
7,1.571,1.286,1.4285
8,3.714,3.286,3.5
6,3.143,2.286,2.7145
6,3.571,3,3.2855
8,2.143,,2.143
6,1,,1
6,2.429,2,2.2145
6,3.286,3,3.143
6,3.714,3.857,3.7855
7,2,1.857,1.9285
7,2.429,,2.429
6,2.571,,2.571
8,2.571,2.286,2.4285
6,3.571,3.571,3.571
7,1.857,1.571,1.714
7,3.571,2.857,3.214
8,3.286,3.286,3.286
7,3.714,3.714,3.714
8,1.714,1.571,1.6425
8,3.286,3.143,3.2145
8,2.857,2.143,2.5
6,2.714,2.286,2.5
8,2.857,3,2.9285
8,2.714,3.143,2.9285
8,3.143,3.286,3.2145
6,4,3.857,3.9285
8,2.857,2.429,2.643
6,3,2.714,2.857
6,1,0.857,0.9285
7,3.571,3.143,3.357
7,3.857,3.429,3.643
8,3,2.857,2.9285
6,3.571,3.429,3.5
7,3.429,2.714,3.0715
7,2.857,2.571,2.714
8,3,2.857,2.9285
7,3.143,3.143,3.143
8,2.571,2.571,2.571
8,2.857,2.429,2.643
6,1.857,1.714,1.7855
8,3.143,3.571,3.357
6,3.857,3.714,3.7855
8,3.857,3.857,3.857
8,4,4,4
8,1.571,1.429,1.5
7,3.429,3.429,3.429
6,2.714,2.143,2.4285
8,1.714,1.857,1.7855
6,3.143,1.857,2.5
6,3.714,3.857,3.7855
6,3.571,3.571,3.571
7,3.714,3.714,3.714
7,3.571,3,3.2855
8,2.857,2.571,2.714
7,2.714,2.429,2.5715
6,2,2,2
8,2.143,1.571,1.857
8,2.714,3,2.857
6,3.714,3.429,3.5715
7,3,2.714,2.857
6,3.714,3.857,3.7855
8,3.571,3,3.2855
8,3.714,4,3.857
6,2.286,2,2.143
7,2.143,1.857,2
8,4,4,4
6,4,2.571,3.2855
7,2.667,2.286,2.4765
6,3,2.857,2.9285
6,2.286,1.571,1.9285
8,1.857,1.571,1.714
7,2.429,2.143,2.286
8,3.286,2.857,3.0715
6,2.571,2.571,2.571
7,3.714,3.714,3.714
8,2.429,2.714,2.5715
6,3.857,3.714,3.7855
8,3.429,3.857,3.643
7,3.714,3.857,3.7855
7,2.286,2.143,2.2145
7,2.286,2.429,2.3575
7,3,,3
6,3.571,2.714,3.1425
7,3.143,2.857,3
6,3.714,3.857,3.7855
7,2.857,2.857,2.857
6,3,2.714,2.857
7,2.857,2.571,2.714
7,2.286,2.714,2.5
6,3.429,2.857,3.143
7,3.143,2.857,3
8,3.714,3.143,3.4285
8,3.571,4,3.7855
6,3.571,3.857,3.714
8,3.571,3.571,3.571
7,4,4,4
6,3,3,3
6,3.714,3.571,3.6425
6,3.429,2.857,3.143
8,1.143,0.571,0.857
7,3,2.143,2.5715
6,3.857,3.857,3.857
8,2.571,2.143,2.357
6,3.429,2.714,3.0715
6,,,#DIV/0!
6,3.143,3.429,3.286
7,3.143,3,3.0715
7,3,2.857,2.9285
6,3.714,3.286,3.5
8,3.143,3.143,3.143
8,2.286,2,2.143
6,3,3,3
6,4,4,4
7,2.857,2.857,2.857
8,3.286,3.143,3.2145
7,2.571,2.571,2.571
8,2.714,3,2.857
8,2.571,2.571,2.571
6,2.857,3.143,3
8,3,2.714,2.857
6,,0.571,0.571
7,2.857,2.857,2.857
6,3.571,3.286,3.4285
6,3.714,3.714,3.714
6,3.286,3,3.143
7,2.571,1.714,2.1425
8,1,1.286,1.143
6,3.429,3.286,3.3575
6,2.714,2,2.357
7,2.286,2.143,2.2145
8,2.857,2.571,2.714
7,2.143,2.286,2.2145
6,3.714,3.571,3.6425
8,2.143,1.857,2
8,3.286,2.857,3.0715
8,3.571,3.429,3.5
6,3.714,3.286,3.5
6,3.429,3.286,3.3575
8,2.571,2.571,2.571
6,3.571,3.429,3.5
8,3.286,2.857,3.0715
7,3.143,,3.143
7,3,3,3
8,2.714,3.143,2.9285
8,2.429,2.571,2.5
6,1.286,1,1.143
7,2.429,2.143,2.286
7,3.714,3.857,3.7855
6,3,2.429,2.7145
6,2.571,2.286,2.4285
7,3.857,3.857,3.857
6,2.429,2.571,2.5
8,1.571,1.429,1.5
6,2.857,2.143,2.5
8,2.857,2.714,2.7855
6,3.571,3.571,3.571
6,3.857,3.429,3.643
8,3.857,4,3.9285
7,3.286,3.429,3.3575
6,3.571,2.857,3.214
7,3.143,3,3.0715
7,2.857,2,2.4285
8,3.286,3.571,3.4285
7,3.143,3.571,3.357
8,3,2.714,2.857
8,4,4,4
7,2.571,1.714,2.1425
7,1.143,,1.143
6,4,3.857,3.9285
6,1.429,,1.429
7,3.125,3,3.0625
7,1,0.714,0.857
7,3.286,3.143,3.2145
8,3,3,3
6,3.857,3.286,3.5715
6,3,2.714,2.857
6,3.429,3.143,3.286
7,3.143,3.143,3.143
8,4,4,4
7,,,#DIV/0!
6,2.571,2.286,2.4285
7,1.857,1.714,1.7855
6,2.143,2.286,2.2145
6,2.429,2.143,2.286
6,3.571,3.571,3.571
8,3.429,2,2.7145
7,3.429,2.714,3.0715
8,1.571,1.571,1.571
7,3.143,3,3.0715
8,2.857,3,2.9285
6,3,2.429,2.7145
6,3.571,3,3.2855
7,2.571,2.143,2.357
6,3.857,4,3.9285
6,2.429,2.286,2.3575
7,1,0.857,0.9285
8,3.571,3,3.2855
8,1.143,1,1.0715
7,3.286,3.571,3.4285
6,2.571,2.143,2.357
6,4,4,4
8,4,4,4
8,3.143,3.143,3.143
8,3.286,3.429,3.3575
7,2.857,2.857,2.857
6,3.857,3.714,3.7855
8,3.857,3.857,3.857
6,3.857,3.714,3.7855
8,1.714,1.571,1.6425
6,2.571,2.286,2.4285
7,2.571,2.143,2.357
6,2.857,3,2.9285
8,2,1.571,1.7855
8,,,#DIV/0!
8,2.714,2,2.357
7,2.125,2.429,2.277
8,3.571,3.429,3.5
6,1.429,1,1.2145
6,3.429,2.857,3.143
7,3.571,3.571,3.571
6,2.429,2,2.2145
7,2.429,2.857,2.643
6,2.143,2.714,2.4285
6,3.429,3.571,3.5
8,3.143,2,2.5715
8,3.143,3.286,3.2145
6,2.143,1.857,2
6,2.286,2.429,2.3575
8,2.286,2,2.143
6,2.286,2,2.143
7,3.286,2.571,2.9285
7,4,4,4
7,2.571,2.714,2.6425
8,3,3,3
8,2.714,2.714,2.714
6,2.714,2,2.357
8,2.857,3,2.9285
8,1.143,1,1.0715
7,3.857,4,3.9285
8,2.857,2.429,2.643
7,3.857,3.857,3.857
6,2.429,2.714,2.5715
6,2.429,,2.429
6,2.857,,2.857
8,3.857,3.429,3.643
6,1.857,1.714,1.7855
6,1.286,1,1.143
7,2.857,2.286,2.5715
6,3.857,3.714,3.7855
7,4,3.714,3.857
8,2.857,2.429,2.643
6,2.571,2.714,2.6425
8,3.857,3.857,3.857
8,3.286,3.143,3.2145
6,3.714,3.714,3.714
6,1.857,1.429,1.643
6,2.714,2.429,2.5715
6,2.429,2.143,2.286
8,2.714,2.571,2.6425
6,2.714,2.571,2.6425
7,4,3.857,3.9285
8,2,1.714,1.857
7,2.571,3,2.7855
7,3.286,3,3.143
8,2.429,2.286,2.3575
7,2,2.571,2.2855
7,3.143,2.857,3
8,2.714,2.571,2.6425
7,2.714,2.857,2.7855
8,2.571,2.571,2.571
8,3.571,3,3.2855
6,,,#DIV/0!
6,3.857,3.714,3.7855
8,3.714,3.429,3.5715
6,3.429,3.143,3.286
7,3.143,2.714,2.9285
7,3.857,3.857,3.857
6,3.571,3,3.2855
7,3.571,3.143,3.357
8,3.286,3.286,3.286
8,3.143,3.571,3.357
7,2.286,1.857,2.0715
8,2.143,1.857,2
7,3,2,2.5
7,3.286,3.286,3.286
6,3.571,3.429,3.5
7,2.143,1.143,1.643
7,3.571,3.857,3.714
6,3.429,3.571,3.5
7,1.429,1.429,1.429
6,2.857,2.714,2.7855
6,2.429,2.286,2.3575
6,3.714,3.714,3.714
7,3.286,2.714,3
6,2.429,2,2.2145
7,3.857,4,3.9285
8,2.857,2.333,2.595
6,3,2.857,2.9285
7,2.143,2.143,2.143
6,3.143,2.857,3
